"postcode","ls_tag"
"LS1 1RB",1
"LS1  1RB",1
"LS1 1RD",1
"LS1  1RD",1
"LS1 1RE",1
"LS1  1RE",1
"LS1 1RF",1
"LS1  1RF",1
"LS1 1RG",1
"LS1  1RG",1
"LS1 1RH",1
"LS1  1RH",1
"LS1 1RJ",1
"LS1  1RJ",1
"LS1 1RL",1
"LS1  1RL",1
"LS1 1RQ",1
"LS1  1RQ",1
"LS1 1RT",1
"LS1  1RT",1
"LS1 1RU",1
"LS1  1RU",1
"LS1 1RW",1
"LS1  1RW",1
"LS1 1RX",1
"LS1  1RX",1
"LS1 1SB",1
"LS1  1SB",1
"LS1 1SL",1
"LS1  1SL",1
"LS1 1SR",1
"LS1  1SR",1
"LS1 1TB",1
"LS1  1TB",1
"LS1 1TD",1
"LS1  1TD",1
"LS1 1TE",1
"LS1  1TE",1
"LS1 1TF",1
"LS1  1TF",1
"LS1 1TG",1
"LS1  1TG",1
"LS1 1TH",1
"LS1  1TH",1
"LS1 1TJ",1
"LS1  1TJ",1
"LS1 1TP",1
"LS1  1TP",1
"LS1 1TQ",1
"LS1  1TQ",1
"LS1 1TR",1
"LS1  1TR",1
"LS1 1TS",1
"LS1  1TS",1
"LS1 1TT",1
"LS1  1TT",1
"LS1 1TU",1
"LS1  1TU",1
"LS1 1TW",1
"LS1  1TW",1
"LS1 1TX",1
"LS1  1TX",1
"LS1 1TY",1
"LS1  1TY",1
"LS1 1TZ",1
"LS1  1TZ",1
"LS1 1UD",1
"LS1  1UD",1
"LS1 1UE",1
"LS1  1UE",1
"LS1 1UF",1
"LS1  1UF",1
"LS1 1UH",1
"LS1  1UH",1
"LS1 1UJ",1
"LS1  1UJ",1
"LS1 1UL",1
"LS1  1UL",1
"LS1 1UN",1
"LS1  1UN",1
"LS1 1UP",1
"LS1  1UP",1
"LS1 1UQ",1
"LS1  1UQ",1
"LS1 1UR",1
"LS1  1UR",1
"LS1 1UW",1
"LS1  1UW",1
"LS1 1UY",1
"LS1  1UY",1
"LS1 1WT",1
"LS1  1WT",1
"LS1 1WU",1
"LS1  1WU",1
"LS1 1WW",1
"LS1  1WW",1
"LS1 1XX",1
"LS1  1XX",1
"LS1 1YU",1
"LS1  1YU",1
"LS1 1YW",1
"LS1  1YW",1
"LS1 1YX",1
"LS1  1YX",1
"LS1 1ZB",1
"LS1  1ZB",1
"LS1 2AA",1
"LS1  2AA",1
"LS1 2AB",1
"LS1  2AB",1
"LS1 2AD",1
"LS1  2AD",1
"LS1 2AE",1
"LS1  2AE",1
"LS1 2AF",1
"LS1  2AF",1
"LS1 2AG",1
"LS1  2AG",1
"LS1 2AH",1
"LS1  2AH",1
"LS1 2AJ",1
"LS1  2AJ",1
"LS1 2AL",1
"LS1  2AL",1
"LS1 2AN",1
"LS1  2AN",1
"LS1 2AP",1
"LS1  2AP",1
"LS1 2AQ",1
"LS1  2AQ",1
"LS1 2AR",1
"LS1  2AR",1
"LS1 2AS",1
"LS1  2AS",1
"LS1 2AT",1
"LS1  2AT",1
"LS1 2AU",1
"LS1  2AU",1
"LS1 2AW",1
"LS1  2AW",1
"LS1 2AX",1
"LS1  2AX",1
"LS1 2AY",1
"LS1  2AY",1
"LS1 2AZ",1
"LS1  2AZ",1
"LS1 2BA",1
"LS1  2BA",1
"LS1 2BB",1
"LS1  2BB",1
"LS1 2BD",1
"LS1  2BD",1
"LS1 2BE",1
"LS1  2BE",1
"LS1 2BF",1
"LS1  2BF",1
"LS1 2BG",1
"LS1  2BG",1
"LS1 2BH",1
"LS1  2BH",1
"LS1 2BJ",1
"LS1  2BJ",1
"LS1 2BL",1
"LS1  2BL",1
"LS1 2BN",1
"LS1  2BN",1
"LS1 2BP",1
"LS1  2BP",1
"LS1 2BQ",1
"LS1  2BQ",1
"LS1 2BR",1
"LS1  2BR",1
"LS1 2BS",1
"LS1  2BS",1
"LS1 2BT",1
"LS1  2BT",1
"LS1 2BU",1
"LS1  2BU",1
"LS1 2BW",1
"LS1  2BW",1
"LS1 2BX",1
"LS1  2BX",1
"LS1 2DA",1
"LS1  2DA",1
"LS1 2DB",1
"LS1  2DB",1
"LS1 2DD",1
"LS1  2DD",1
"LS1 2DE",1
"LS1  2DE",1
"LS1 2DF",1
"LS1  2DF",1
"LS1 2DG",1
"LS1  2DG",1
"LS1 2DH",1
"LS1  2DH",1
"LS1 2DJ",1
"LS1  2DJ",1
"LS1 2DL",1
"LS1  2DL",1
"LS1 2DN",1
"LS1  2DN",1
"LS1 2DP",1
"LS1  2DP",1
"LS1 2DQ",1
"LS1  2DQ",1
"LS1 2DR",1
"LS1  2DR",1
"LS1 2DS",1
"LS1  2DS",1
"LS1 2DT",1
